Track Name,Artist Name(s),Album Name,Album Artist Name(s),Album Release Date,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Popularity
Alone Together,Peggy Lee,Things Are Swingin',Peggy Lee,1958-11-03,1,7,127800,,48
Over The Rainbow,Lou Donaldson,Everything I Play Is Funky,Lou Donaldson,1995-01-01,1,3,431266,,49
C Jam Blues,Oscar Peterson Trio,Night Train (Expanded Edition),Oscar Peterson Trio,1963-01-01,1,2,203466,,54
I Guess I'll Hang My Tears Out To Dry - Rudy Van Gelder Edition/Remastered 1999,Dexter Gordon,Go! (The Rudy Van Gelder Edition),Dexter Gordon,1962,1,2,322000,,52
Just Friends,Sarah Vaughan,After Hours,Sarah Vaughan,1955-04-12,1,12,181493,https://p.scdn.co/mp3-preview/9b3d6ad3fa573a8b609db3a2211383b27f58ee1d?cid=9950ac751e34487dbbe027c4fd7f8e99,47
What A Little Moonlight Can Do - Remastered,Nancy Wilson,Something Wonderful,Nancy Wilson,2004-01-01,1,7,147666,,47
Cristo Redentor - Remastered,Donald Byrd,A New Perspective (Remastered / Rudy Van Gelder Edition),Donald Byrd,1963,1,3,343280,,50
Midnight Special - Remastered 2007/Rudy Van Gelder Edition,Jimmy Smith,Midnight Special (Remastered),Jimmy Smith,1961,1,1,597280,,49
Salt Peanuts,Dizzy Gillespie,Groovin' High,Dizzy Gillespie,1955-01-01,1,5,196640,,47
I Remember Clifford - Rudy Van Gelder Edition; 2007 Digital Remaster,Lee Morgan,Volume 3,Lee Morgan,1957-04-01,1,3,429040,,51
"Waltz For Debby - Live At The Village Vanguard, New York / 1961 / Take 2",Bill Evans Trio,At The Village Vanguard,Bill Evans Trio,1961,1,9,409640,,55
These Foolish Things - Remastered 1995,Lester Young,The Complete Aladdin Recordings Of Lester Young,"Lester Young, Helen Humes, Nat King Cole",1995-01-01,1,7,190933,,56
I'm A Fool To Want You,Dexter Gordon,Ballads,Dexter Gordon,1991-01-01,1,3,405226,,50
Comin' Home Baby,Herbie Mann,Atlantic Jazz: Soul,Various Artists,2005-05-10,1,4,519600,https://p.scdn.co/mp3-preview/7e933299a5162082cc881382cb3609230ec1cac8?cid=9950ac751e34487dbbe027c4fd7f8e99,47
Sunday,"Ben Webster, Oscar Peterson",Ben Webster's Finest Hour,Ben Webster,2000-06-21,1,11,237493,,49
But Beautiful,"Stan Getz, Bill Evans",Stan Getz & Bill Evans,"Stan Getz, Bill Evans",1973-03-01,1,2,280840,,60
You'd Be So Nice To Come Home To,"Coleman Hawkins, Ben Webster",Coleman Hawkins Encounters Ben Webster (Expanded Edition),"Coleman Hawkins, Ben Webster",1959-11-01,1,4,255626,,51
Love Theme From Spartacus - Rudy Van Gelder Remaster / 2006,Yusef Lateef,Eastern Sounds,Yusef Lateef,1961,1,5,251600,,57
Footprints - Remastered,Wayne Shorter,Adam's Apple (Rudy Van Gelder Edition),Wayne Shorter,1967,1,4,449773,,54
Autumn Nocturne,Lou Donaldson,Blues Walk,Lou Donaldson,1958,1,5,294666,,61
So Tender,"Keith Jarrett, Gary Peacock, Jack DeJohnette","Standards, Vol. 2",Keith Jarrett,1983,1,1,435266,,53
Windows,Chick Corea,The Best Of Chick Corea,Chick Corea,1993-01-01,1,5,191933,,46
All Alone,Mal Waldron,All Alone,Mal Waldron,1966-01-01,1,1,310054,https://p.scdn.co/mp3-preview/6418915e1a9f11632c7dab29e8aac4dece9d00f2?cid=9950ac751e34487dbbe027c4fd7f8e99,49
Stardust,"Gerry Mulligan, Chet Baker",Reunion With Chet Baker,"Gerry Mulligan, Chet Baker",1988-01-01,1,3,286133,,54
Body and Soul,Coleman Hawkins,Body & Soul,Coleman Hawkins,1996-05-21,1,4,182360,https://p.scdn.co/mp3-preview/3e9f6ae5d786a05b6267fa4ac189d4b037d0651e?cid=9950ac751e34487dbbe027c4fd7f8e99,54
In The Wee Small Hours Of The Morning,Johnny Hartman,I Just Dropped By To Say Hello,Johnny Hartman,1963,1,2,164933,,53
Maiden Voyage - Remastered,Herbie Hancock,Maiden Voyage,Herbie Hancock,1965-05-17,1,1,477093,,52
Cool Struttin',Sonny Clark,Cool Struttin' (Remastered / Rudy Van Gelder Edition),Sonny Clark,1958,1,1,563613,,51
The Nearness Of You - Remastered,"George Shearing Quintet, Nancy Wilson",The Swingin's Mutual (Expanded Edition / Remastered),"George Shearing, Nancy Wilson",1961,1,3,180200,,46
'Long As You Know You're Living Yours,"Keith Jarrett, Jan Garbarek, Palle Danielsson, Jon Christensen",Belonging,Keith Jarrett,1974-10-01,1,3,370866,,48
Chloe,Joe Pass,Intercontinental,Joe Pass,2014-07-11,1,1,321951,https://p.scdn.co/mp3-preview/876f9fd815d5a17902bc88490a38161470a0558c?cid=9950ac751e34487dbbe027c4fd7f8e99,49
Alone Together - Rudy Van Gelder Remaster 2006,Kenny Dorham,Quiet Kenny,Kenny Dorham,1992-01-01,1,4,190400,,56
Blue Skies,Art Tatum,The Complete Capitol Recordings Of Art Tatum,Art Tatum,1997-01-01,2,3,172293,,46
Four Brothers,Art Pepper,Art Pepper + Eleven: Modern Jazz Classics,Art Pepper,1959-01-01,1,5,178533,,49
Dig Dis - Remastered 1999/Rudy Van Gelder Edition,Hank Mobley,Soul Station,Hank Mobley,1960-10-01,1,3,369386,,55
God Bless the Child,Sonny Rollins,The Bridge,Sonny Rollins,1962,1,5,447560,https://p.scdn.co/mp3-preview/112485591bb31c71346dba61262debc5af5d7967?cid=9950ac751e34487dbbe027c4fd7f8e99,50
My One And Only Love,"Chick Corea, Malcolm Addey","Now He Sings, Now He Sobs",Chick Corea,2002-01-01,1,13,214026,,53
Four,Miles Davis Quintet,Workin' With The Miles Davis Quintet,Miles Davis Quintet,1959,1,2,433106,,49
One For Daddy-O,Cannonball Adderley,Somethin' Else (Rudy Van Gelder Edition),Cannonball Adderley,1958,1,4,505453,,51
This Is Always,Betty Carter,Inside Betty Carter,Betty Carter,1993-08-02,1,1,191960,https://p.scdn.co/mp3-preview/c05bac3e2a9831a10e44a5b7574630302e27b589?cid=9950ac751e34487dbbe027c4fd7f8e99,55
Django - Rudy Van Gelder Edition / Remastered 1999,Grant Green,Idle Moments,Grant Green,1999-01-01,1,3,524093,,48
Ruby My Dear,Roy Hargrove,Approaching Standards,Roy Hargrove,1994-08-16,1,2,372493,https://p.scdn.co/mp3-preview/4186138405f753d2724ef9321c1c0bc0d1831601?cid=9950ac751e34487dbbe027c4fd7f8e99,52
Softly As In A Morning Sunrise,The Modern Jazz Quartet,Elegance: The Birth Of The Modern Jazz Quartet,The Modern Jazz Quartet,1954,1,1,209400,,50
Crystal Silence,Chick Corea,Return To Forever,Chick Corea,1972-07-01,1,2,415000,,50
Polka Dots And Moonbeams - 1994 Remaster,Bud Powell,"The Amazing Bud Powell, Vol. 2 (1989 Version)",Bud Powell,1998-01-01,1,12,243773,,48
Solar - Rudy Van Gelder Remaster,Miles Davis Quintet,Walkin',Miles Davis,1957,1,3,282866,,51
Too Young To Go Steady,John Coltrane Quartet,Ballads (Deluxe Edition - Rudy Van Gelder Remaster),John Coltrane Quartet,1963,1,3,259812,,56
Never Will I Marry,"Cannonball Adderley, Nancy Wilson, Sweet",Nancy Wilson/Cannonball Adderley,"Nancy Wilson, Cannonball Adderley",1962,1,2,139200,,48
Isfahan,Duke Ellington,Far East Suite,Duke Ellington,1967,1,3,245880,https://p.scdn.co/mp3-preview/80ac1a81a82e98270217d37916f8acfc53c2773c?cid=9950ac751e34487dbbe027c4fd7f8e99,48
You Don't Know What Love Is,Anita O'Day,An Evening With Anita O'Day,Anita O'Day,1955,1,10,178066,,46
April In Paris - 2007 Remaster/Rudy Van Gelder Edition,Thad Jones,The Magnificent Thad Jones (Remastered),Thad Jones,2007-01-01,1,1,403360,,49
Softly As In A Morning Sunrise - Remastered 2001/Rudy Van Gelder Edition,Sonny Clark Trio,Sonny Clark Trio (Remastered 2001/Rudy Van Gelder Edition),Sonny Clark Trio,1958-01-01,1,5,393533,,49
Journey Into Melody - 2007 Digital Remaster/Rudy Van Gelder Edition,Stanley Turrentine,Look Out! (Remastered),Stanley Turrentine,2007-01-01,1,2,295200,,54
Lullaby Of The Leaves - 1998 Digital Remaster,Gerry Mulligan,The Original Quartet With Chet Baker,"Gerry Mulligan, Chet Baker",1998-01-01,1,7,195160,,46
A Night In Tunisia - Rudy Van Gelder Edition / 2003 Remaster,Dexter Gordon,Our Man In Paris (Rudy Van Gelder Edition),Dexter Gordon,1963,1,5,495373,,47
Journey In Satchidananda,"Alice Coltrane, Pharoah Sanders",Journey in Satchidananda,Alice Coltrane,1971,1,1,396066,,53
Joy Spring,Clifford Brown,The Best Of Clifford Brown,Clifford Brown,1998-01-01,1,8,198800,,48
Danny's Dream,Lars Gullin,Fäbodjazz,Lars Gullin,1998-03-04,1,1,338733,https://p.scdn.co/mp3-preview/d5ff0df68192709992c326ffc8589e5c7e6ece23?cid=9950ac751e34487dbbe027c4fd7f8e99,46
"Goodbye, Old Girl",Art Farmer,Art,Art Farmer,1960-09-20,1,2,274333,,52
I Thought About You,Dinah Washington,What A Diff'rence A Day Makes! (Expanded Edition),Dinah Washington,1959-02-19,1,2,154706,,44
